# Positive orientation delta results in clockwise rotation
# Rows        = For 'waffle' feeders, the number of components in a row. Columns cause stepping right to left
# Columns     = For 'waffle' feeders, the number of components in a column. Rows cause stepping back to front

#Feeder		X	Y	Z	Orientation	Columns	Rows	Location
W-MAX3222	5724	10866	919	0		3	1	1C
W-Z8F1621_44PIN	8031	23507	931	270		2	1	4A
W-UDA1334ATS	5715	19552	951	0		16	1	1A
W-100UH-12-CMX	5624	12235	959	0		44	2	1B/1B-2
W-47UF/16V	9546	15009	815	180		21	1	6A
W-LED2		7031	12157	983	90		12	1	3B
W-TLV1117-33	7964	12010	947	0		10	1	4E
W-SN74LV04APW	9525	12865	963	270		6	1	6B
W-6501		8043	11074	923	0		2	1	4F
W-FERRITE	8835	11254	987	90		5	1	5H
W-2G04		6372	10692	956	90		6	1	2D
W-1G125		6361	11663	968	270		15	1	2C
W-9535		7993	15430	960	0		6	1	4D
W-UDA1361TS	6404	19538	946	0		16	1	2A
W-3016		6398	14336	949	0		16	1	2B
W-73601		8826	23630	980	90		6	1	5A
W-MT48LC16M16	8047	18956	964	270		2	1	4C
W-M25P16	8867	22656	946	0		3	1	5B
W-AK4117	7161	14342	964	0		22	1	3A
W-B340A		8869	22049	946	90		3	1	5C
W-5430		8863	21106	961	0		3	1	5D
W-6V2		8814	13254	995	180		24	1	5F
W-914		8814	17174	992	0		24	1	5E
W-149		8029	21952	940	270		2	1	4B
W-MCP103	8804	12186	978	0		6	1	5G
W-2122		7212	10872	946	180		3	1	3C
W-FZT953TA	9555	10869	946	0		6	1	6B
W-ADAU1966	10305	12673	951	270		3	1	7B
W-L6470		10265	22442	951	0		5	1	7A
W-NTD5865NL	10290	20920	922	180		4	1	7A-2
