# Positive orientation delta = clockwise rotation
# Rows        = For 'waffle' feeders, the number of components in a row. Columns cause stepping right to left
# Columns     = For 'waffle' feeders, the number of components in a column. Rows cause stepping back to front

#Feeder		X	Y	Z	Orientation	Columns	Rows	Location
W-914		6794	19240	1007	180		29	1	2A-2
W-8123		10465	9873	992	90		15	1	8B
W-PIND1.5	11332	14544	938	90		30	1	9A
W-2890		11323	9816	964	180		15	1	9B
W-220UH		9830	19267	882	90		15	1	7A
W-100UH		5576	8589	931	90		2	38	10Ax2
W-100UH-12	5576	8589	931	90		2	38	10Ax2
W-5620		5789	9871	990	180		15	1	1B
W-LED2		6567	12054	997	90		15	1	2C	
W-10UH		7241	14506	956	180		60	1	3A	
W-B340A		9833	14400	945	90		30	1	7B	
W-5420		9241	14415	981	180		30	1	6A
W-2308		9783	10219	990	180		26	1	7CA
W-6V2		7816	10244	988	180		27	1	4C
W-4148		8730	10298	966	90		25	1	5C-2
W-5V6		8396	10243	984	0		25	1	5C
W-4862		8567	14318	958	180		15	1	5B
W-1G125		7801	21552	992	270		15	1	4A
W-LM317		5721	14614	940	270		30	1	1A
W-LV123		8534	19188	953	180		15	1	5A
W-2G04		9184	10358	981	90		25	1	6B
W-1754		6479	19335	975	180		15	1	2A
W-9001		6580	14585	978	0		15	1	2B
W-MCP103	7218	12045	979	0		15	1	3B
W-2122		10522	16943	983	180		15	1	8A
W-SMDF050	5479	8031	999	180		1	20	10B
W-ESD5		7782	14481	1040	90		45	1	4B
W-MUSB		5558	7224	787	0		1	10	10C
W-XTAL16	5591	5589	853	0		1	13	10D
W-AT90N		5455	6329	951	0		1	20	10E
W-9536		10011	8053	963	90		1	5	10B-2
W-1G32		7220	10159	983	0		11	1	3C
