# Positive orientation delta results in clockwise rotation
# Columns = For 'waffle' feeders, the number of components in a row. Columns cause stepping right to left
# Rows    = For 'waffle' feeders, the number of components in a column. Rows cause stepping back to front
# Not recommended to change orientation in this file. Change in Component
# Feeders file
# Componwntonly use to manually verify component placement

#Feeder	X	Y	Z	Theta	Columns	Rows 	Component
F1	26121	3385	803	0	1	1	0.1uF
F5	26084	6604	799	0	1	1	10K
F8	26105	8979	817	0	1	1	9pF
F14	26092	13787	802	0	1	1	0.01uF
F17	26093	16178	774	0	1	1	A03406

R6	3287	18471	815	0	1	1	100K
R7	3299	17673	800	0	1	1	1K1
R8	3290	16857	796	0	1	1	Greed LED
R9	3326	16064	815	0	1	1	1uF


W8MM1	5916	23235	817	0	1	21	Inductor
W8MM2	5908	22845	801	0	1	15	TPD2
W8MM3	6076	22257	776	0	1	9	10uF 0805 35V
W8MM4	5915	21530	828	0	1	20	Fuse
W8MM5	5892	21113	815	0	1	15	BAS40
#W8MM6	5891	20390	834	0	1	21	5K1
W8MM7	5904	19816	833	0	1	21	36K
W8MM8	5852	19416	818	0	1	22	10uF 25V
W8MM9	5907	18906	761	0	1	20	RGB LED
W8MM11	5946	17961	809	0	1	15	XTAL
W8MM12	5905	17552	770	0	1	20	B340A
W8MM13	5936	17125	801	0	1	15	TPS73633
W8MM14	5888	15218	799	0	1	15 	TS3USB
W8MM15	5894	14605	816	0	1	13	BC846
W8MM16	5931	14244	811	0	1	15	TDP4
W8MM17	5917	13910	802	0	1	15 	HD3SS460

W12MM1	6086	16397	756	0	1	5	TIVA
W12MM2	5943	15653	622	0	1	15	Button
W12MM3	5954	13373	774	0	1	15	EEPROM
W12MM4	5955	12721	715	0	1	9	USB2.0 connector
W12MM5	6278	11121	691	0	1	6	ACE

F1_TEMP	26115	3399	895	0	1	1	DMP3099
F2_TEMP	26091	4200	835	0	1	1	LTC4412
